id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type
53,湖北省,十堰市,房县,,,420325000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
54,内蒙古自治区,赤峰市,敖汉旗,,,150430000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
55,辽宁省,大连市,普兰店区,,,210214000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增
56,甘肃省,张掖市,高台县,,,620724000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
57,山西省,晋中市,和顺县,,,140723000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
58,河北省,保定市,定州市,,,130682000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
59,陕西省,渭南市,潼关县,,,610522000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
60,西藏自治区,那曲地区,班戈县,,,542428000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
61,陕西省,安康市,汉滨区,,,610902000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
62,河北省,邢台市,邢台县,,,130521000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
63,广西壮族自治区,百色市,德保县,,,451024000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
64,贵州省,黔东南苗族侗族自治州,从江县,,,522633000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
65,江苏省,苏州市,姑苏区,,,320508000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
66,浙江省,绍兴市,上虞区,,,330604000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
67,福建省,泉州市,洛江区,,,350504000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
68,广东省,珠海市,斗门区,,,440403000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
69,陕西省,延安市,富县,,,610628000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
70,湖北省,黄冈市,英山县,,,421124000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
71,江苏省,常州市,天宁区,,,320402000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
72,四川省,绵阳市,,,,510700000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
73,四川省,阿坝藏族羌族自治州,壤塘县,,,513230000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
74,贵州省,黔东南苗族侗族自治州,剑河县,,,522629000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
75,安徽省,蚌埠市,龙子湖区,,,340302000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
76,重庆市,,黔江区,,,500114000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
77,广东省,梅州市,蕉岭县,,,441427000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
78,四川省,眉山市,彭山区,,,511403000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
79,四川省,南充市,阆中市,,,511381000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
80,吉林省,吉林市,,,,220200000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
81,四川省,广安市,邻水县,,,511623000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
82,河南省,驻马店市,,,,411700000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
83,广西壮族自治区,桂林市,阳朔县,,,450321000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
84,贵州省,铜仁市,石阡县,,,520623000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
85,安徽省,阜阳市,阜南县,,,341225000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
86,陕西省,延安市,黄陵县,,,610632000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
87,天津市,,南开区,,,120104000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
88,河南省,信阳市,淮滨县,,,411527000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
89,河北省,保定市,望都县,,,130631000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
90,辽宁省,沈阳市,沈北新区,,,210113000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
91,江西省,上饶市,横峰县,,,361125000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
92,河南省,商丘市,民权县,,,411421000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
93,湖南省,邵阳市,绥宁县,,,430527000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
94,湖南省,娄底市,双峰县,,,431321000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
95,四川省,巴中市,巴州区,,,511902000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
96,广西壮族自治区,防城港市,,,,450600000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
97,四川省,成都市,,,,510100000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
98,云南省,曲靖市,宣威市,,,530381000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
99,甘肃省,平凉市,庄浪县,,,620825000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
100,湖北省,宜昌市,当阳市,,,420582000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
101,西藏自治区,昌都市,八宿县,,,540326000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
102,安徽省,六安市,叶集区,,,341504000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增
103,江西省,宜春市,奉新县,,,360921000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
104,陕西省,宝鸡市,渭滨区,,,610302000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
105,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,,,652827000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
106,河北省,承德市,,,,130800000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
107,浙江省,杭州市,拱墅区,,,330105000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
108,山东省,青岛市,胶州市,,,370281000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
109,黑龙江省,齐齐哈尔市,泰来县,,,230224000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
110,湖北省,襄阳市,枣阳市,,,420683000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
111,江西省,吉安市,永丰县,,,360825000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
112,浙江省,嘉兴市,海宁市,,,330481000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
113,江西省,九江市,共青城市,,,360482000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
114,山东省,临沂市,郯城县,,,371322000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
115,四川省,乐山市,马边彝族自治县,,,511133000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
116,湖南省,岳阳市,华容县,,,430623000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
117,浙江省,金华市,,,,330700000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
118,安徽省,淮南市,凤台县,,,340421000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
119,黑龙江省,双鸭山市,岭东区,,,230503000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
120,河南省,鹤壁市,淇县,,,410622000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
121,河北省,石家庄市,元氏县,,,130132000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
122,浙江省,嘉兴市,嘉善县,,,330421000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
123,福建省,龙岩市,连城县,,,350825000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
124,广西壮族自治区,桂林市,临桂区,,,450312000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
125,湖南省,益阳市,资阳区,,,430902000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
126,广东省,汕头市,潮阳区,,,440513000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
127,广西壮族自治区,梧州市,藤县,,,450422000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
128,湖北省,随州市,广水市,,,421381000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
129,浙江省,丽水市,松阳县,,,331124000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
130,湖南省,衡阳市,蒸湘区,,,430408000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
131,河北省,张家口市,赤城县,,,130732000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
132,安徽省,蚌埠市,淮上区,,,340311000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
133,辽宁省,铁岭市,,,,211200000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
134,江西省,九江市,星子县,,,360427000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销
135,广东省,潮州市,潮安区,,,445103000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
136,四川省,南充市,顺庆区,,,511302000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
137,广东省,茂名市,茂南区,,,440902000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
138,西藏自治区,那曲地区,比如县,,,542423000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
139,湖南省,娄底市,冷水江市,,,431381000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
140,河南省,漯河市,,,,411100000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
141,云南省,玉溪市,江川区,,,530403000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增
142,山西省,运城市,平陆县,,,140829000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
143,安徽省,滁州市,全椒县,,,341124000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
144,辽宁省,葫芦岛市,连山区,,,211402000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
145,山西省,长治市,郊区,,,140411000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
146,浙江省,宁波市,北仑区,,,330206000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
147,天津市,,静海区,,,120118000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增
148,江苏省,常州市,溧阳市,,,320481000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
149,四川省,成都市,新都区,,,510114000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
150,安徽省,铜陵市,,,,340700000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
151,辽宁省,沈阳市,大东区,,,210104000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
152,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,,,530825000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
153,云南省,昆明市,富民县,,,530124000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
154,甘肃省,,,,,620000000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
155,河南省,安阳市,北关区,,,410503000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
156,北京市,,顺义区,,,110113000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
157,甘肃省,金昌市,永昌县,,,620321000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
158,湖南省,湘西土家族苗族自治州,保靖县,,,433125000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
159,福建省,宁德市,福安市,,,350981000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
160,山西省,朔州市,应县,,,140622000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
161,河南省,平顶山市,新华区,,,410402000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
162,四川省,宜宾市,筠连县,,,511527000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
163,甘肃省,武威市,,,,620600000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
164,吉林省,长春市,朝阳区,,,220104000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
165,安徽省,合肥市,,,,340100000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
166,山东省,济宁市,曲阜市,,,370881000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
167,天津市,,北辰区,,,120113000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
168,广西壮族自治区,柳州市,城中区,,,450202000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
169,湖南省,湘潭市,雨湖区,,,430302000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
170,云南省,文山壮族苗族自治州,麻栗坡县,,,532624000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
171,江西省,抚州市,东乡县,,,361029000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销
172,广西壮族自治区,河池市,环江毛南族自治县,,,451226000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
173,河南省,南阳市,内乡县,,,411325000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
174,浙江省,杭州市,,,,330100000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
175,湖南省,怀化市,会同县,,,431225000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
176,安徽省,铜陵市,铜官区,,,340705000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增
177,四川省,甘孜藏族自治州,白玉县,,,513331000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
178,福建省,,,,,350000000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
179,陕西省,汉中市,,,,610700000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
180,陕西省,渭南市,白水县,,,610527000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
181,西藏自治区,阿里地区,日土县,,,542524000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
182,新疆维吾尔自治区,乌鲁木齐市,达坂城区,,,650107000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
183,四川省,阿坝藏族羌族自治州,汶川县,,,513221000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
184,四川省,广元市,苍溪县,,,510824000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
185,海南省,三亚市,海棠区,,,460202000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
186,青海省,,,,,630000000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
187,云南省,丽江市,宁蒗彝族自治县,,,530724000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
188,黑龙江省,伊春市,乌伊岭区,,,230714000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
189,山西省,晋中市,平遥县,,,140728000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
190,江西省,,,,,360000000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
191,甘肃省,酒泉市,玉门市,,,620981000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
192,四川省,内江市,隆昌县,,,511028000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
193,内蒙古自治区,阿拉善盟,阿拉善左旗,,,152921000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
194,甘肃省,庆阳市,合水县,,,621024000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
195,贵州省,黔东南苗族侗族自治州,三穗县,,,522624000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
196,浙江省,金华市,武义县,,,330723000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
197,新疆维吾尔自治区,乌鲁木齐市,天山区,,,650102000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
198,广东省,深圳市,龙岗区,,,440307000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
199,湖南省,长沙市,开福区,,,430105000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
200,广东省,河源市,和平县,,,441624000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
201,甘肃省,临夏回族自治州,康乐县,,,622922000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
202,福建省,漳州市,,,,350600000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
203,江西省,赣州市,上犹县,,,360724000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
204,内蒙古自治区,呼和浩特市,和林格尔县,,,150123000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
205,安徽省,亳州市,利辛县,,,341623000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
206,海南省,海口市,龙华区,,,460106000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
207,吉林省,辽源市,龙山区,,,220402000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
208,黑龙江省,大庆市,让胡路区,,,230604000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
209,江西省,吉安市,吉州区,,,360802000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
210,甘肃省,金昌市,金川区,,,620302000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
211,湖北省,恩施土家族苗族自治州,利川市,,,422802000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
212,辽宁省,大连市,,,,210200000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
213,辽宁省,铁岭市,昌图县,,,211224000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
214,新疆维吾尔自治区,阿克苏地区,库车县,,,652923000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
215,山东省,潍坊市,昌乐县,,,370725000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
216,辽宁省,沈阳市,辽中县,,,210122000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销
217,重庆市,,江北区,,,500105000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
218,云南省,临沧市,凤庆县,,,530921000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
219,广东省,江门市,鹤山市,,,440784000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
220,西藏自治区,昌都市,边坝县,,,540330000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
221,河南省,周口市,商水县,,,411623000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
222,河南省,平顶山市,湛河区,,,410411000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
223,河北省,邯郸市,魏县,,,130434000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
224,吉林省,通化市,梅河口市,,,220581000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
225,河北省,秦皇岛市,卢龙县,,,130324000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
226,广东省,佛山市,,,,440600000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
227,西藏自治区,日喀则市,拉孜县,,,540225000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
228,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,622927000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
229,湖南省,永州市,江华瑶族自治县,,,431129000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
230,贵州省,遵义市,赤水市,,,520381000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
231,江苏省,常州市,新北区,,,320411000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
232,湖南省,长沙市,,,,430100000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
233,广西壮族自治区,河池市,金城江区,,,451202000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
234,甘肃省,定西市,漳县,,,621125000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
235,河北省,保定市,清苑区,,,130608000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增
236,江西省,赣州市,全南县,,,360729000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
237,湖北省,宜昌市,秭归县,,,420527000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
238,江苏省,扬州市,宝应县,,,321023000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
239,山西省,运城市,,,,140800000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
240,青海省,海南藏族自治州,,,,632500000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
241,陕西省,咸阳市,永寿县,,,610426000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
242,广西壮族自治区,崇左市,宁明县,,,451422000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
243,河北省,石家庄市,藁城区,,,130109000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
244,湖南省,长沙市,宁乡县,,,430124000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
245,广东省,清远市,英德市,,,441881000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
246,黑龙江省,齐齐哈尔市,,,,230200000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
247,河南省,洛阳市,吉利区,,,410306000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
248,四川省,凉山彝族自治州,雷波县,,,513437000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
249,河北省,张家口市,怀安县,,,130728000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
250,云南省,昭通市,彝良县,,,530628000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
251,新疆维吾尔自治区,阿克苏地区,阿瓦提县,,,652928000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
252,内蒙古自治区,赤峰市,红山区,,,150402000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
253,山西省,晋城市,沁水县,,,140521000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
254,江苏省,淮安市,,,,320800000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
255,广东省,云浮市,,,,445300000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
256,贵州省,遵义市,习水县,,,520330000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
257,云南省,楚雄彝族自治州,双柏县,,,532322000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
258,河南省,安阳市,滑县,,,410526000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
259,河南省,周口市,鹿邑县,,,411628000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
260,江西省,宜春市,丰城市,,,360981000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
261,新疆维吾尔自治区,阿勒泰地区,哈巴河县,,,654324000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
262,山东省,泰安市,新泰市,,,370982000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
263,云南省,临沧市,临翔区,,,530902000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
264,山东省,日照市,东港区,,,371102000000,12/21/2017 11:18:15,12/21/2017 11:18:15,,
