id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type
209,江西省,吉安市,吉州区,,,360802000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
210,甘肃省,金昌市,金川区,,,620302000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
211,湖北省,恩施土家族苗族自治州,利川市,,,422802000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
212,辽宁省,大连市,,,,210200000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
213,辽宁省,铁岭市,昌图县,,,211224000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
214,新疆维吾尔自治区,阿克苏地区,库车县,,,652923000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
215,山东省,潍坊市,昌乐县,,,370725000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
216,辽宁省,沈阳市,辽中县,,,210122000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
217,重庆市,,江北区,,,500105000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
218,山东省,滨州市,沾化县,,,371624000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销
219,云南省,临沧市,凤庆县,,,530921000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
220,广东省,江门市,鹤山市,,,440784000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
221,河南省,周口市,商水县,,,411623000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
222,河南省,平顶山市,湛河区,,,410411000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
223,河北省,邯郸市,魏县,,,130434000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
224,吉林省,通化市,梅河口市,,,220581000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
225,河北省,秦皇岛市,卢龙县,,,130324000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
226,广东省,佛山市,,,,440600000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
227,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,622927000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
228,湖南省,永州市,江华瑶族自治县,,,431129000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
229,贵州省,遵义市,赤水市,,,520381000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
230,江苏省,常州市,新北区,,,320411000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
231,湖南省,长沙市,,,,430100000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
232,广西壮族自治区,河池市,金城江区,,,451202000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
233,甘肃省,定西市,漳县,,,621125000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
234,江西省,赣州市,全南县,,,360729000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
235,湖北省,宜昌市,秭归县,,,420527000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
236,江苏省,扬州市,宝应县,,,321023000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
237,山西省,运城市,,,,140800000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
238,青海省,海南藏族自治州,,,,632500000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
239,陕西省,咸阳市,永寿县,,,610426000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
240,广西壮族自治区,崇左市,宁明县,,,451422000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
241,湖南省,长沙市,宁乡县,,,430124000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
242,广东省,清远市,英德市,,,441881000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
243,黑龙江省,齐齐哈尔市,,,,230200000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
244,河南省,洛阳市,吉利区,,,410306000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
245,四川省,凉山彝族自治州,雷波县,,,513437000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
246,河北省,张家口市,怀安县,,,130728000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
247,云南省,昭通市,彝良县,,,530628000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
248,新疆维吾尔自治区,阿克苏地区,阿瓦提县,,,652928000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
249,内蒙古自治区,赤峰市,红山区,,,150402000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
250,山西省,晋城市,沁水县,,,140521000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
251,江苏省,淮安市,,,,320800000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
252,广东省,云浮市,,,,445300000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
253,贵州省,遵义市,习水县,,,520330000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
254,云南省,楚雄彝族自治州,双柏县,,,532322000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
255,河南省,安阳市,滑县,,,410526000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
256,河南省,周口市,鹿邑县,,,411628000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
257,江西省,宜春市,丰城市,,,360981000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
258,新疆维吾尔自治区,阿勒泰地区,哈巴河县,,,654324000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
259,山东省,泰安市,新泰市,,,370982000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
260,云南省,临沧市,临翔区,,,530902000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
261,山东省,日照市,东港区,,,371102000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
262,湖南省,永州市,道县,,,431124000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
263,陕西省,安康市,岚皋县,,,610925000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
264,陕西省,汉中市,留坝县,,,610729000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
265,四川省,凉山彝族自治州,木里藏族自治县,,,513422000000,12/21/2017 11:18:26,12/21/2017 11:18:26,,
